lat,lon,date,temp,precip,is_fire
38.5287,-122.3415,6/16/2015,18.6,0,TRUE
40,41.46,9/8/2015,19.1,0,TRUE
39.7806004,-123.248214,6/28/2015,24.1,0,TRUE
39.081,-121.194,9/22/2015,24.2,0,TRUE
41.12362,-121.194256,8/29/2015,20.7,0,TRUE
39.33303,-121.18735,8/3/2015,24,0,TRUE
38.9361,-121.1548,7/22/2015,24.2,0,TRUE
32.682547,-116.51684,7/24/2015,22.9,0,TRUE
36.8727,-121.5681,7/20/2015,23.5,0,TRUE
33.21407,-116.73472,7/16/2015,20.4,0,TRUE
41.999341,-121.891226,7/21/2015,21.3,0.43,TRUE
39.0263,-123.303,7/4/2015,24.7,0,TRUE
38.831478,-122.53428,8/24/2015,20.2,0,TRUE
34.4828,-119.63216,10/29/2015,21.5,0,TRUE
33.986204,-117.43942,7/12/2015,23.9,0,TRUE
41.1513,-123.8292,6/10/2015,12.8,0,TRUE
38.519132,-122.181878,6/27/2015,22.8,0,TRUE
40.5953,-122.4397,7/7/2015,27.3,0,TRUE
40.1093,-123.774,7/28/2015,17.4,0,TRUE
38.598056,-119.751944,6/19/2015,20,0,TRUE
36.45994,-121.89938,7/22/2016,15.1,0,TRUE
35.6115,-118.45628,6/23/2016,27.5,0.14,TRUE
35.70595,-120.98316,8/13/2016,24.2,0,TRUE
34.30372,-117.49342,8/16/2016,28.7,0,TRUE
41.851,-123.118,8/27/2016,23.9,0,TRUE
35.7506,-118.5678,8/16/2016,27.6,0,TRUE
34.63445,-120.54421,9/17/2016,15.4,0,TRUE
34.28771,-117.27338,8/7/2016,21.5,0,TRUE
32.60729,-116.63028,6/19/2016,26.4,0,TRUE
34.776,-119.643,6/15/2016,16.2,0.1,TRUE
36.09974,-120.51057,8/9/2016,21,0,TRUE
38.52513,-122.06788,8/2/2016,22.9,0,TRUE
38.96741,-120.9375,6/28/2016,29.7,0,TRUE
38.96741,-120.9375,6/28/2016,29.7,0,TRUE
37.75985,-118.95309,9/17/2016,14.9,0,TRUE
34.31,-118.335,11/14/2016,21.6,0,TRUE
37.10632,-121.85318,9/26/2016,25,0,TRUE
35.984,-118.551,10/29/2016,18.8,0,TRUE
38.89741,-122.60664,8/13/2016,19.3,0.05,TRUE
36.38123,-121.20059,5/22/2016,14,0.05,TRUE
36.0749,-120.452041,7/1/2016,25.9,0,TRUE
41.623,-123.557,6/7/2016,13.3,0.36,TRUE
41.2649,-120.3178,9/17/2016,16.3,0,TRUE
40.3915,-120.7845,9/11/2016,19.4,0,TRUE
36.01542,-121.25029,6/4/2016,21.4,0,TRUE
34.701,-119.144,6/30/2016,22.2,0.05,TRUE
37.01591,-119.50507,7/30/2016,32.3,0,TRUE
36.94536,-119.25959,10/11/2016,19.4,0,TRUE
35.20993,-118.72272,7/1/2016,27.4,0,TRUE
38.80017,-122.82895,9/25/2016,21.5,0,TRUE
37.07147,-121.20155,6/25/2016,20.1,0,TRUE
33.393,-117.35093,7/21/2016,24.8,0,TRUE
34.36763,-118.57245,7/9/2016,23.9,0,TRUE
37.79635,-120.32484,9/26/2016,23.6,0,TRUE
39.6871,-121.571,9/5/2016,21.9,0,TRUE
41.7813,-122.611,8/24/2016,21,0,TRUE
37.97,-119.14,6/25/2016,18.4,0,TRUE
41.28486,-123.82268,8/22/2016,12.1,0,TRUE
34.913,118.9082,7/8/2016,26.5,0.3,TRUE
39.6708,-121.7192,8/2/2016,26,0,TRUE
35.2013,-118.7212,8/26/2016,22.6,0,TRUE
40.0353,-122.56939,6/30/2016,32.4,0.1,TRUE
38.1874,-120.6381,8/28/2016,22.8,0,TRUE
40.36873,-122.72913,7/8/2016,23.3,0,TRUE
36.16965,-121.38775,8/18/2016,15.6,0,TRUE
36.1648,-118.73906,8/22/2016,25.8,0,TRUE
41.4657,-120.9066,9/11/2016,17.7,0,TRUE
38.385,-121.003611,6/28/2016,28.6,0,TRUE
40.30594,-122.1295,9/13/2016,18,0,TRUE
38.08056,-120.81394,7/12/2016,24.2,0,TRUE
38.02845,-120.61153,7/2/2016,26.9,0,TRUE
35.4976,-118.5097,8/28/2016,24,0,TRUE
39.188321,-121.78003,9/20/2016,26.4,0,TRUE
36.88286,-119.654,5/25/2016,18.6,0,TRUE
38.69971,-122.15457,6/26/2016,27.6,0,TRUE
39.92,-121.32,9/26/2016,26.1,0,TRUE
35.68313,-118.21793,7/13/2016,27.1,0,TRUE
34.75134,-120.55297,9/22/2016,14.4,0.13,TRUE
39.12366,-122.50373,6/26/2016,23.5,0,TRUE
37.74369,-121.58677,6/25/2016,24.6,0,TRUE
38.26874,-120.90265,6/17/2016,19,0,TRUE
36.92244,-119.39619,7/11/2016,24.8,0.03,TRUE
38.93449,-120.10744,10/14/2016,9.3,32.05,TRUE
38.8390117,-121.3090268,5/17/2016,24.3,0,TRUE
36.84479,-119.34487,9/3/2016,24.6,0,TRUE
34.276,-118.354,5/23/2016,16.7,0,TRUE
37.75972,-120.029626,9/13/2016,9.3,0.05,TRUE
33.6542,-117.5221,8/31/2016,25.6,0,TRUE
35.61961,-120.39993,5/10/2016,15.3,0,TRUE
37.62215,-121.36665,8/20/2016,24,0,TRUE
36.14161,-120.62048,7/4/2016,22,0,TRUE
33.476894,-117.140883,6/4/2016,23.5,0,TRUE
35.60748,-118.94811,7/15/2016,31.7,0,TRUE
36.78769,-119.38248,5/15/2016,20.6,0,TRUE
39.4403,-121.42647,9/22/2016,17.6,0,TRUE
37.0099,-119.5792,7/15/2016,30.5,0,TRUE
37.17072,-121.42238,6/7/2016,16.8,0,TRUE
37.41896,-121.79669,7/30/2016,20.9,0,TRUE
39.595,-121.6008,6/20/2016,26.3,0,TRUE
37.25601,-119.65776,7/4/2016,25.8,0,TRUE
40,-121.93923,9/25/2016,28.8,0,TRUE
35.24504,-118.60344,8/4/2016,25.9,0.54,TRUE
35.85093,-120.81081,7/22/2016,24.8,0,TRUE
32.9612,-116.7945,7/18/2016,22,0,TRUE
5487,-120.841536,7/9/2016,,,TRUE
39.33035,-121.78973,5/27/2016,22.9,0,TRUE
39.79547,-121.71662,8/26/2016,24.3,0,TRUE
40.07846,-122.2071,7/1/2016,31.3,0,TRUE
38.86804,-121.37704,6/21/2016,26.3,0.56,TRUE
38.517772,-121.103642,7/10/2016,19.6,0,TRUE
35.70821,-120.82266,6/27/2016,28.3,0,TRUE
37.3228,-119.7738,8/4/2016,25.9,0,TRUE
